date,open,highest,lowest,close,change,change_percentage,volume
23/09/2008,4724.0,5171.0,4724.0,5072.0,348.0,7.37,243000
22/09/2008,4947.0,4947.0,4947.0,4947.0,0.0,0.0,31520
19/09/2008,4724.0,4724.0,4699.0,4724.0,0.0,0.0,104930
18/09/2008,4500.0,4525.0,4500.0,4500.0,0.0,0.0,164910
17/09/2008,4724.0,4823.0,4724.0,4724.0,0.0,0.0,75180
16/09/2008,5072.0,5072.0,4923.0,4923.0,-149.0,-2.94,88670
15/09/2008,4972.0,5320.0,4972.0,5171.0,199.0,4.0,98130
12/09/2008,5171.0,5271.0,4972.0,5072.0,-99.0,-1.92,78650
11/09/2008,5221.0,5271.0,5171.0,5171.0,-50.0,-0.95,66470
10/09/2008,5519.0,5519.0,5320.0,5420.0,-99.0,-1.8,55640
09/09/2008,5420.0,5470.0,5320.0,5370.0,-50.0,-0.92,30490
08/09/2008,5320.0,5420.0,5320.0,5320.0,0.0,0.0,68820
05/09/2008,5519.0,5768.0,5519.0,5569.0,50.0,0.9,42840
04/09/2008,5768.0,5768.0,5669.0,5768.0,0.0,0.0,245590
03/09/2008,5519.0,5519.0,5470.0,5519.0,0.0,0.0,312910
29/08/2008,5271.0,5470.0,5271.0,5271.0,0.0,0.0,442750
28/08/2008,5619.0,5619.0,5470.0,5519.0,-99.0,-1.77,361620
27/08/2008,5818.0,5967.0,5619.0,5619.0,-199.0,-3.42,321520
26/08/2008,6116.0,6116.0,5867.0,5867.0,-249.0,-4.07,538250
25/08/2008,5718.0,5917.0,5718.0,5867.0,149.0,2.61,235930
22/08/2008,5718.0,5768.0,5669.0,5669.0,-50.0,-0.87,289380
21/08/2008,5718.0,5818.0,5669.0,5818.0,99.0,1.74,258070
20/08/2008,5420.0,5768.0,5420.0,5718.0,298.0,5.5,193150
19/08/2008,5967.0,5967.0,5619.0,5669.0,-298.0,-5.0,487020
18/08/2008,5718.0,5718.0,5619.0,5718.0,0.0,0.0,195120
15/08/2008,5470.0,5470.0,5470.0,5470.0,0.0,0.0,73910
14/08/2008,5075.0,5322.0,5075.0,5322.0,246.0,4.85,222630
13/08/2008,5125.0,5223.0,5125.0,5174.0,49.0,0.96,92170
12/08/2008,5420.0,5420.0,5125.0,5174.0,-246.0,-4.55,105180
11/08/2008,5273.0,5273.0,5174.0,5273.0,0.0,0.0,61920
08/08/2008,5125.0,5223.0,5075.0,5125.0,0.0,0.0,80170
07/08/2008,5223.0,5223.0,5174.0,5174.0,-49.0,-0.94,228480
06/08/2008,4928.0,5075.0,4928.0,5075.0,148.0,3.0,232670
05/08/2008,4928.0,4928.0,4928.0,4928.0,0.0,0.0,36590
04/08/2008,5075.0,5125.0,5075.0,5075.0,0.0,0.0,77450
01/08/2008,5223.0,5322.0,5223.0,5223.0,0.0,0.0,176370
31/07/2008,5371.0,5371.0,5223.0,5371.0,0.0,0.0,125420
30/07/2008,5273.0,5273.0,5273.0,5273.0,0.0,0.0,171540
29/07/2008,5125.0,5125.0,5125.0,5125.0,0.0,0.0,36580
28/07/2008,4755.0,4977.0,4755.0,4977.0,222.0,4.66,277220
25/07/2008,4878.0,4878.0,4878.0,4878.0,0.0,0.0,110790
24/07/2008,5026.0,5026.0,5026.0,5026.0,0.0,0.0,337350
23/07/2008,5174.0,5174.0,5174.0,5174.0,0.0,0.0,2170
22/07/2008,5322.0,5322.0,5322.0,5322.0,0.0,0.0,8650
21/07/2008,5470.0,5470.0,5470.0,5470.0,0.0,0.0,14160
18/07/2008,5617.0,5617.0,5617.0,5617.0,0.0,0.0,54230
17/07/2008,5765.0,5913.0,5765.0,5765.0,0.0,0.0,231120
16/07/2008,5913.0,5913.0,5913.0,5913.0,0.0,0.0,64020
15/07/2008,6061.0,6061.0,5962.0,6061.0,0.0,0.0,240460
14/07/2008,5815.0,5962.0,5815.0,5913.0,99.0,1.69,130310
11/07/2008,5815.0,5815.0,5765.0,5815.0,0.0,0.0,289280
10/07/2008,5667.0,5667.0,5617.0,5667.0,0.0,0.0,324490
09/07/2008,5568.0,5667.0,5519.0,5519.0,-49.0,-0.88,287040
08/07/2008,5519.0,5667.0,5519.0,5667.0,148.0,2.68,129630
07/07/2008,5962.0,5962.0,5667.0,5667.0,-296.0,-4.96,202790
04/07/2008,5815.0,5815.0,5815.0,5815.0,0.0,0.0,157230
03/07/2008,5667.0,5667.0,5667.0,5667.0,0.0,0.0,134410
02/07/2008,5519.0,5519.0,5519.0,5519.0,0.0,0.0,217540
01/07/2008,5371.0,5371.0,5371.0,5371.0,0.0,0.0,26260
