date,open,highest,lowest,close,change,change_percentage,volume
11/10/2019,9873.0,9955.0,9832.0,9873.0,0.0,0.0,1803500
10/10/2019,9750.0,9997.0,9750.0,9873.0,123.0,1.27,4853230
09/10/2019,9626.0,9750.0,9585.0,9750.0,123.0,1.28,1895100
08/10/2019,9544.0,9626.0,9503.0,9585.0,41.0,0.43,1158300
07/10/2019,9709.0,9709.0,9544.0,9544.0,-165.0,-1.69,2046400
04/10/2019,9709.0,9791.0,9667.0,9709.0,0.0,0.0,1581000
03/10/2019,9667.0,9709.0,9585.0,9709.0,41.0,0.43,1855800
02/10/2019,9667.0,9791.0,9667.0,9709.0,41.0,0.43,2158073
01/10/2019,9626.0,9750.0,9585.0,9750.0,123.0,1.28,1858700
30/09/2019,9585.0,9709.0,9544.0,9626.0,41.0,0.43,2301305
27/09/2019,10285.0,10285.0,9544.0,9544.0,-741.0,-7.2,2161770
26/09/2019,9462.0,9585.0,9421.0,9585.0,123.0,1.3,2319500
25/09/2019,9503.0,9544.0,9421.0,9462.0,-41.0,-0.43,1521380
24/09/2019,9585.0,9626.0,9503.0,9544.0,-41.0,-0.43,1327950
23/09/2019,9544.0,9709.0,9503.0,9585.0,41.0,0.43,2874550
20/09/2019,9667.0,10449.0,9503.0,9544.0,-123.0,-1.28,2570229
19/09/2019,9215.0,9544.0,9174.0,9503.0,288.0,3.12,3462380
18/09/2019,9174.0,9297.0,9133.0,9215.0,41.0,0.45,1539570
17/09/2019,9215.0,9215.0,9091.0,9174.0,-41.0,-0.45,5285250
16/09/2019,9297.0,9338.0,9174.0,9215.0,-82.0,-0.88,1295945
13/09/2019,9174.0,9297.0,9091.0,9297.0,123.0,1.35,1324001
12/09/2019,9009.0,9133.0,8968.0,9133.0,123.0,1.37,8242300
11/09/2019,8927.0,8968.0,8886.0,8968.0,41.0,0.46,3521000
10/09/2019,9009.0,9009.0,8886.0,8927.0,-82.0,-0.91,3874271
09/09/2019,8968.0,9050.0,8927.0,9009.0,41.0,0.46,374200
06/09/2019,9050.0,9091.0,8927.0,9009.0,-41.0,-0.45,706100
05/09/2019,9091.0,9091.0,9009.0,9050.0,-41.0,-0.45,624800
04/09/2019,9091.0,9091.0,8968.0,9050.0,-41.0,-0.45,364800
03/09/2019,9133.0,9215.0,9009.0,9091.0,-41.0,-0.45,484600
30/08/2019,9174.0,9256.0,9091.0,9133.0,-41.0,-0.45,609200
29/08/2019,9174.0,9215.0,9050.0,9091.0,-82.0,-0.9,636300
28/08/2019,9215.0,9256.0,9133.0,9133.0,-82.0,-0.89,512600
27/08/2019,9215.0,9297.0,9174.0,9256.0,41.0,0.45,1015300
26/08/2019,9256.0,9256.0,9091.0,9256.0,0.0,0.0,1028800
23/08/2019,9338.0,9379.0,9215.0,9297.0,-41.0,-0.44,814500
22/08/2019,9256.0,9379.0,9215.0,9338.0,82.0,0.89,1652200
21/08/2019,9133.0,9215.0,9091.0,9174.0,41.0,0.45,2790584
20/08/2019,9091.0,9174.0,9091.0,9133.0,41.0,0.45,1318100
19/08/2019,9050.0,9174.0,9009.0,9050.0,0.0,0.0,1209500
16/08/2019,9009.0,9091.0,8845.0,9009.0,0.0,0.0,1535610
15/08/2019,8927.0,8927.0,8762.0,8927.0,0.0,0.0,1470000
14/08/2019,9050.0,9133.0,8927.0,8927.0,-123.0,-1.36,906100
13/08/2019,9009.0,9050.0,8886.0,9009.0,0.0,0.0,574000
12/08/2019,9050.0,9050.0,8968.0,9050.0,0.0,0.0,577900
09/08/2019,8803.0,9174.0,8803.0,9009.0,206.0,2.34,1418616
08/08/2019,8474.0,9050.0,8228.0,9050.0,576.0,6.8,1065900
07/08/2019,8968.0,9050.0,8886.0,8886.0,-82.0,-0.92,1030900
06/08/2019,8433.0,9009.0,8433.0,8927.0,494.0,5.85,1819600
05/08/2019,9174.0,9174.0,8968.0,9050.0,-123.0,-1.35,2536900
02/08/2019,9256.0,9297.0,9050.0,9174.0,-82.0,-0.89,1773800
01/08/2019,9338.0,9462.0,9215.0,9256.0,-82.0,-0.88,1901700
31/07/2019,9503.0,9503.0,9338.0,9379.0,-123.0,-1.3,893000
30/07/2019,9379.0,9585.0,9379.0,9421.0,41.0,0.44,1298800
29/07/2019,9544.0,9626.0,9421.0,9462.0,-82.0,-0.86,1360550
26/07/2019,9791.0,9791.0,9585.0,9626.0,-165.0,-1.68,1061400
25/07/2019,9791.0,9914.0,9750.0,9750.0,-41.0,-0.42,2116400
24/07/2019,9740.0,9835.0,9582.0,9709.0,-32.0,-0.32,4008600
23/07/2019,9803.0,9835.0,9709.0,9740.0,-63.0,-0.65,1973300
22/07/2019,10847.0,10847.0,9709.0,9803.0,-1044.0,-9.62,1901300
19/07/2019,10120.0,10120.0,9740.0,9867.0,-253.0,-2.5,2875600
18/07/2019,9614.0,9740.0,9550.0,9740.0,127.0,1.32,1599900
17/07/2019,9550.0,9772.0,9550.0,9709.0,158.0,1.66,2506785
16/07/2019,9487.0,9614.0,9487.0,9550.0,63.0,0.67,1194700
15/07/2019,9519.0,9550.0,9456.0,9487.0,-32.0,-0.33,932255
12/07/2019,9582.0,9614.0,9487.0,9519.0,-63.0,-0.66,886300
11/07/2019,9361.0,9614.0,9361.0,9550.0,190.0,2.03,2080100
10/07/2019,9424.0,9487.0,9361.0,9361.0,-63.0,-0.67,1120000
09/07/2019,9171.0,9424.0,9171.0,9424.0,253.0,2.76,2777235
08/07/2019,9234.0,9297.0,9139.0,9171.0,-63.0,-0.68,428102
05/07/2019,9266.0,9297.0,9203.0,9234.0,-32.0,-0.34,798749
04/07/2019,9139.0,9266.0,9139.0,9234.0,95.0,1.04,924601
03/07/2019,9171.0,9203.0,9076.0,9108.0,-63.0,-0.69,643100
02/07/2019,9234.0,9234.0,9139.0,9139.0,-95.0,-1.03,387800
01/07/2019,9297.0,9297.0,9171.0,9234.0,-63.0,-0.68,662205
28/06/2019,9044.0,9139.0,9013.0,9139.0,95.0,1.05,798740
27/06/2019,9171.0,9203.0,9044.0,9044.0,-127.0,-1.38,973100
26/06/2019,9171.0,9234.0,9171.0,9171.0,0.0,0.0,389115
25/06/2019,9329.0,9361.0,9171.0,9234.0,-95.0,-1.02,1660255
24/06/2019,9329.0,9392.0,9297.0,9329.0,0.0,0.0,1420600
21/06/2019,9361.0,9487.0,9297.0,9329.0,-32.0,-0.34,825500
20/06/2019,9139.0,9361.0,9108.0,9361.0,221.0,2.42,1434700
19/06/2019,9139.0,9203.0,9108.0,9139.0,0.0,0.0,505630
18/06/2019,9076.0,9171.0,9076.0,9139.0,63.0,0.7,768400
17/06/2019,9076.0,9139.0,9044.0,9076.0,0.0,0.0,931045
14/06/2019,9044.0,9171.0,9044.0,9076.0,32.0,0.35,1124000
13/06/2019,9013.0,9076.0,9013.0,9044.0,32.0,0.35,846100
12/06/2019,9044.0,9076.0,9013.0,9013.0,-32.0,-0.35,806920
11/06/2019,9044.0,9076.0,9044.0,9044.0,0.0,0.0,563361
10/06/2019,9076.0,9139.0,9044.0,9044.0,-32.0,-0.35,462600
07/06/2019,9013.0,9108.0,9013.0,9076.0,63.0,0.7,281700
06/06/2019,9139.0,9139.0,8981.0,9013.0,-127.0,-1.38,981400
05/06/2019,9044.0,9139.0,9044.0,9139.0,95.0,1.05,1056300
04/06/2019,9076.0,9171.0,9044.0,9044.0,-32.0,-0.35,869100
03/06/2019,9076.0,9171.0,9044.0,9076.0,0.0,0.0,1178200
31/05/2019,9171.0,9203.0,9076.0,9171.0,0.0,0.0,1025000
30/05/2019,9203.0,9234.0,9171.0,9203.0,0.0,0.0,734600
29/05/2019,9139.0,9234.0,9076.0,9234.0,95.0,1.04,1082920
28/05/2019,9171.0,9234.0,9139.0,9139.0,-32.0,-0.34,940400
27/05/2019,9203.0,9234.0,9171.0,9171.0,-32.0,-0.34,927200
24/05/2019,8602.0,9329.0,8602.0,9234.0,633.0,7.35,890500
23/05/2019,9456.0,9487.0,9266.0,9329.0,-127.0,-1.34,629946
22/05/2019,9297.0,9456.0,9297.0,9361.0,63.0,0.68,1273418
21/05/2019,9297.0,9392.0,9266.0,9297.0,0.0,0.0,1384500
20/05/2019,9266.0,9329.0,9203.0,9266.0,0.0,0.0,683467
17/05/2019,9266.0,9297.0,9234.0,9234.0,-32.0,-0.34,851400
16/05/2019,9361.0,9361.0,9234.0,9266.0,-95.0,-1.01,1466700
15/05/2019,9203.0,9392.0,9203.0,9329.0,127.0,1.37,1289906
14/05/2019,9234.0,9266.0,9139.0,9203.0,-32.0,-0.34,1601213
13/05/2019,9297.0,9361.0,9234.0,9234.0,-63.0,-0.68,1062700
10/05/2019,9203.0,9297.0,9171.0,9266.0,63.0,0.69,646060
09/05/2019,9297.0,9329.0,9203.0,9203.0,-95.0,-1.02,602900
08/05/2019,9266.0,9361.0,9203.0,9329.0,63.0,0.68,1019100
07/05/2019,9487.0,9487.0,9234.0,9329.0,-158.0,-1.67,868600
06/05/2019,9487.0,9487.0,9297.0,9297.0,-190.0,-2.0,1530100
03/05/2019,9424.0,9487.0,9424.0,9487.0,63.0,0.67,1114400
02/05/2019,9550.0,9582.0,9392.0,9392.0,-158.0,-1.66,1133805
26/04/2019,9487.0,9550.0,9456.0,9519.0,32.0,0.33,1122300
